experiment,classifier_kind,model_type,input_representation,train_samples,validation_samples,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,delta_accuracy_vs_raw_direct,delta_balanced_accuracy_vs_raw_direct,delta_macro_f1_vs_raw_direct,classifier_metrics,classifier_model,confusion_matrix_plot,validation_predictions,feature_file,state_file
raw_direct,logistic_regression,standardized_logistic_regression,raw_waveform_flat_10320,2240,560,0.24107142857142858,0.24107142857142858,0.2412456618273997,0.0,0.0,0.0,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\raw_waveform_comparison\outputs\raw_direct\results\classifier_metrics.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\raw_waveform_comparison\outputs\raw_direct\results\classifier_model.joblib,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\raw_waveform_comparison\outputs\raw_direct\results\classifier_confusion_matrix.png,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\raw_waveform_comparison\outputs\raw_direct\results\classifier_validation_predictions.csv,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\raw_waveform_comparison\outputs\processed\raw_waveform_flat_features.npz,
raw_reservoir,logistic_regression,standardized_logistic_regression,raw_waveform_40x258_to_reservoir_800d_state,2240,560,0.8678571428571429,0.8678571428571428,0.867986537120249,0.6267857142857143,0.6267857142857142,0.6267408752928493,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\raw_waveform_comparison\outputs\raw_reservoir\results\classifier_metrics.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\raw_waveform_comparison\outputs\raw_reservoir\results\classifier_model.joblib,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\raw_waveform_comparison\outputs\raw_reservoir\results\classifier_confusion_matrix.png,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\raw_waveform_comparison\outputs\raw_reservoir\results\classifier_validation_predictions.csv,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\raw_waveform_comparison\outputs\processed\raw_waveform_flat_features.npz,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\raw_waveform_comparison\outputs\raw_reservoir\processed\reservoir_states.npz
