condition,description,enable_stp,enable_intrinsic_plasticity,num_samples,mean_global_firing_rate,std_global_firing_rate,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,state_file,summary_yaml,classifier_metrics,confusion_matrix_plot
baseline,STP + IP,True,True,2800,0.009495646537522719,0.0020704310945364865,0.9946428571428572,0.9946428571428572,0.9946426478712895,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\baseline\processed\reservoir_states.npz,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\baseline\results\run_summary.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\baseline\results\classifier_metrics.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\baseline\results\classifier_confusion_matrix.png
no_ip,No IP,True,False,2800,0.0016724351490847765,0.00012117554520075531,0.9375,0.9374999999999999,0.9374527741867051,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\no_ip\processed\reservoir_states.npz,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\no_ip\results\run_summary.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\no_ip\results\classifier_metrics.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\no_ip\results\classifier_confusion_matrix.png
no_stp,No STP,False,True,2800,0.011389143310246125,0.002607782485743485,0.9964285714285714,0.9964285714285713,0.9964284319141932,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\no_stp\processed\reservoir_states.npz,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\no_stp\results\run_summary.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\no_stp\results\classifier_metrics.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\no_stp\results\classifier_confusion_matrix.png
no_stp_no_ip,No STP + No IP,False,False,2800,0.001675490600838592,0.00012137092797623622,0.9321428571428572,0.9321428571428572,0.9324159428362814,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\no_stp_no_ip\processed\reservoir_states.npz,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\no_stp_no_ip\results\run_summary.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\no_stp_no_ip\results\classifier_metrics.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\no_stp_no_ip\results\classifier_confusion_matrix.png
